location_name,GDP,Prevalence
Burkina Faso,764.8530778,776.0862831637301
Burkina Faso,764.8530778,1058.53526087276
Gambia,738.186752,761.77229202869
Gambia,738.186752,1088.404655341
Sudan,709.9752808,694.25664008704
Sudan,709.9752808,1220.35350418379
Liberia,658.1641808,772.52033092032
Liberia,658.1641808,1065.7352668252302
Malawi,580.8891398,872.74459503573
Malawi,580.8891398,1476.53866061977
Niger,561.6913043,782.09052705638
Niger,561.6913043,1103.06338743508
Niger,561.6913043,791.2666283862901
Niger,561.6913043,1092.45105499125
Somalia,539.9548162,921.28556865038
Somalia,539.9548162,1441.7996965272998
Mozambique,519.0925509,890.89789351326
Mozambique,519.0925509,1437.3426630505
Democratic Republic of the Congo,504.0041914,794.0357088855699
Democratic Republic of the Congo,504.0041914,1208.74927565015
Madagascar,499.8188376,879.93451230342
Madagascar,499.8188376,1438.45346704853
Afghanistan,496.6025043,708.0188973511999
Afghanistan,496.6025043,1304.88885436441
Central African Republic,449.2284676,748.74036034546
Central African Republic,449.2284676,1176.9162291663
Burundi,234.3106159,942.04528479494
Burundi,234.3106159,1441.76946512697
